geoid,distance
7018882,107255
7018907,11584
7018908,51024
7018993,7592
7018994,13907
7019000,9003
7019125,10137
7019126,10242
7019127,10073
7019128,8284
7019129,10883
7019139,2788
7019140,2718
7020225,718
7019130,2655
7019131,3020
7019133,8658
7019134,7929
7019135,8585
7019136,3316
7019137,3052
7019138,2904
7019141,2522
7019142,2409
7019143,2166
7019144,1931
7019145,2213
7019146,2152
7019147,708
7019151,414
7019152,817
7019153,1007
7019168,1186
7019169,1640
7019148,1770
7019149,489
7019150,842
7019154,1425
7019155,3990
7019156,3518
7019157,1128
7019158,493
7019159,101
7019160,1311
7019161,603
7019162,358
7019163,496
7019164,880
7019165,590
7019166,886
7019167,1364
7019170,1434
7019171,1588
7019172,1900
7019173,2922
7019174,1495
7019175,1542
7019176,1844
7019177,2449
7019178,3386
7019179,2785
7019180,2282
7019181,3201
7019182,3359
7019183,3472
7019184,3388
7019185,3391
7019186,6487
7019187,4874
7019188,4392
7019189,10126
7020226,710
7019194,6023
7019195,6073
7019196,4804
7019197,5416
7019198,5848
7019199,4924
7019200,5970
7019201,5526
7019202,5654
7019203,5826
7019241,1431
7019204,5534
7019205,5788
7019206,5984
7019207,6103
7019212,5320
7019213,4808
7019214,5207
7019215,4754
7019216,5274
7019217,5237
7019227,2885
7019208,8194
7019209,6058
7019210,3352
7019211,5553
7022167,647
7019218,6245
7019219,3780
7019220,4388
7019221,2944
7019222,2850
7019223,2688
7019224,2736
7019225,2346
7019226,2365
7019962,296
7019228,6677
7019229,6169
7019230,6041
7019231,4403
7019232,4652
7019236,2157
7019237,3016
7019238,2096
7019239,1805
7019233,8010
7019234,8406
7019235,4129
7019240,1788
7019242,1426
7019243,1100
7019244,853
7019245,1348
7019246,1443
7019247,1509
7019248,6407
7019249,2107
7019250,2065
7019251,1854
7019252,1868
7019253,1516
7019254,1674
7019255,1345
7019256,1343
7019257,1315
7020227,894
7019258,1298
7019259,1418
7019260,806
7019261,1249
7019262,888
7019263,691
7019264,346
7019265,342
7019266,2793
7019267,6440
7019283,2953
7020228,932
7019268,7420
7019269,3086
7019270,1516
7019271,1542
7019272,1750
7019273,1123
7019274,1584
7019275,1387
7019276,1227
7019277,1189
7019278,675
7019279,1513
7019280,990
7019281,2127
7019282,2198
7020229,850
7022188,19357
7019284,1340
7019285,7735
7019308,1546
7019286,5581
7019287,7284
7019289,3764
7019290,2323
7019291,5462
7019357,1544
7019288,9740
7020230,765
7019292,8183
7019300,2522
7019301,2628
7019302,2219
7019303,2000
7019304,1706
7019305,1573
7019306,1514
7020231,765
7019293,12670
7019294,990
7019295,930
7019296,1245
7019297,1393
7019298,1810
7019299,1824
7019307,1376
7019309,910
7019310,1377
7019311,1479
7019312,1846
7019313,1872
7019314,2122
7019315,1060
7019317,1747
7019318,1652
7019319,1556
7019320,1967
7019321,1485
7019322,1354
7019323,1607
7019324,1003
7019325,906
7020232,846
7022189,18722
7019326,720
7019327,772
7019328,906
7019329,1040
7019330,564
7019331,216
7019332,693
7019333,701
7019334,665
7019335,1074
7019336,960
7019337,891
7019338,513
7019369,3047
7019339,841
7019340,880
7019341,1114
7019342,1341
7019343,1023
7019344,542
7019345,451
7019346,906
7019347,434
7019348,556
7019349,780
7019350,547
7019351,1181
7019352,644
7019353,754
7019354,600
7019355,102
7019356,653
7022190,31317
7019358,894
7019359,2012
7019360,3489
7019361,3682
7019362,3696
7019363,3682
7019364,3198
7019365,2916
7019366,3259
7019367,3234
7019368,2929
7020016,548
7019370,2942
7019371,3056
7019372,2851
7019373,2994
7019374,2735
7019375,2476
7019376,2464
7019377,2688
7019378,2408
7019379,2160
7019380,2834
7019381,2044
7019382,853
7019383,250
7019384,656
7019385,780
7019386,561
7019387,442
7019388,1943
7019389,1845
7019390,1953
7019391,1660
7020233,1011
7019392,1906
7019393,1757
7019394,2006
7019395,1856
7019396,1124
7019397,1442
7019398,855
7019399,1157
7019400,1262
7019401,776
7019402,1884
7019403,1476
7019404,1971
7019420,4431
7020017,635
7019405,2046
7019406,1052
7019407,2280
7019408,1202
7019409,1592
7019410,1148
7019411,1238
7019412,1165
7019413,993
7019414,1377
7019415,2923
7019416,1409
7019417,1358
7019418,1023
7019419,2364
7022191,28408
7019421,4442
7019422,3721
7019423,3895
7019424,3933
7019425,3251
7019426,3114
7019427,3531
7019428,3030
7019429,2818
7019430,2740
7019431,2543
7019432,2853
7020546,759
7019433,2876
7019434,2642
7019435,2772
7019436,2682
7019437,2979
7019438,2695
7019439,2228
7019440,1155
7019441,1287
7019442,1778
7019443,1235
7019444,1464
7019445,1311
7019446,1566
7019447,1713
7020779,1138
7019448,1200
7019449,1644
7019450,2308
7019451,1312
7019452,2012
7019453,1106
7019454,1449
7019455,899
7019456,1141
7019457,1292
7019458,906
7019459,525
7019460,675
7019461,757
7019462,541
7019463,1045
7019464,1212
7019465,1581
7019466,1282
7019501,777
7022192,25752
7019467,2805
7019468,1397
7019469,1732
7019470,2139
7019471,2493
7019472,3003
7019473,2297
7019474,4507
7019475,4816
7019476,5188
7019477,4676
7019478,3928
7021629,550
7019479,6792
7019480,2603
7019481,2406
7019482,2875
7019483,2327
7019484,2009
7019485,2147
7019486,1319
7019487,1682
7019488,1447
7019489,1610
7019490,1643
7019491,1548
7019492,2128
7019502,386
7022193,35200
7022194,53270
7019493,5348
7019494,276
7019495,549
7019496,1221
7019497,709
7019498,1917
7019499,602
7019500,423
7022195,43892
7022196,46201
7019503,516
7019504,843
7019505,5444
7019512,1306
7019513,1603
7019514,441
7019515,1452
7022197,63149
7019506,4792
7019507,501
7019508,73
7019509,359
7019510,824
7019511,1185
7022167,14736
7019516,640
7019517,1442
7019518,957
7019520,4732
7022188,84560
7022189,88459
7019519,4537
7019523,2157
7019548,977
7019549,815
7019762,602
7019521,4206
7019522,3718
7019540,3415
7019865,1207
7019524,3822
7019525,8344
7019541,2390
7019542,1684
7019526,9814
7019527,7270
7019543,1574
7019544,1767
7019545,1487
7019546,1234
7019547,939
7022190,96520
7019528,2054
7019532,1806
7019533,1428
7019534,1557
7019536,2934
7019537,2982
7019538,2808
7019539,3214
7019550,651
7019551,1250
7019552,423
7019553,1082
7019554,1079
7019555,48
7019556,512
7019557,840
7019558,645
7019559,809
7019560,1230
7019561,583
7019562,581
7019563,820
7019882,1518
7019564,524
7019565,1039
7019566,738
7019567,924
7019568,951
7019569,1002
7019570,2357
7019572,2102
7019573,2197
7019574,2455
7019575,2295
7019576,2882
7019577,2988
7020234,1048
7019578,3448
7019579,3264
7019580,2550
7019581,3307
7019582,3492
7019583,2066
7019604,971
7019605,1509
7020254,552
7022191,94320
7019584,2682
7019586,1716
7019587,1582
7019588,1504
7019589,1488
7019590,1231
7019591,1135
7019592,916
7019593,787
7019594,789
7019595,604
7020255,680
7019596,2582
7019597,2131
7019598,1279
7019599,925
7019600,623
7019601,871
7019602,1532
7019603,1444
7019616,1815
7022192,90955
7022193,100403
7019606,1197
7019607,1878
7019608,1224
7019609,201
7019610,819
7019611,2377
7019612,2372
7019613,3175
7019614,2054
7019615,1990
7019617,1537
7019618,1499
7019619,1515
7019620,1252
7019621,924
7019622,1761
7020018,267
7019623,613
7019624,699
7019625,1295
7019626,880
7019627,981
7019628,1797
7019629,2014
7019630,2138
7019631,2886
7019632,2278
7019633,2440
7019905,424
7019634,2691
7019635,2953
7019636,1648
7019637,416
7019638,257
7019639,134
7019640,1867
7019641,685
7019642,1224
7019643,866
7019644,2278
7019645,1596
7019646,1820
7019647,2078
7019648,1744
7019649,1524
7019650,2232
7019651,2408
7019652,1752
7019653,2514
7019673,1715
7020780,276
7019654,2409
7019655,2532
7019656,2279
7019658,2404
7019659,2051
7019660,1713
7019661,1742
7019662,1240
7019663,1825
7019685,670
7019908,854
7019664,625
7019665,729
7019666,373
7019667,754
7019668,1179
7019669,330
7019670,1481
7019671,751
7019672,1812
7019923,1190
7022194,118473
7019674,1325
7019675,1423
7019676,1459
7019677,1398
7019678,1489
7019679,1298
7019680,1302
7019681,1371
7019682,799
7019683,764
7019684,850
7019924,1179
7022195,109095
7019686,1114
7019687,987
7019688,1076
7019689,871
7019690,1926
7019691,1932
7019692,1941
7019693,2065
7019694,2046
7019695,2187
7019696,2305
7019697,2414
7019698,2488
7022196,111404
7019699,2494
7019700,2644
7019701,2702
7019702,3165
7019703,2518
7019704,3096
7019705,2512
7019706,2491
7019716,1524
7019707,2390
7019708,2126
7019709,2209
7019710,1637
7019711,1815
7019712,2128
7019713,1210
7019714,1248
7019715,1432
7020256,848
7019717,1623
7019718,839
7019719,836
7019720,1715
7019721,1210
7019722,919
7019723,1246
7019724,993
7019725,623
7019726,594
7019727,192
7019728,537
7019744,1508
7020257,1034
7019729,610
7019730,752
7019731,52
7019732,520
7019733,348
7019734,592
7019735,606
7019736,651
7019737,1053
7019738,1092
7019739,1653
7019740,1250
7019741,1161
7019742,1216
7019743,1471
7020258,989
7019745,1497
7019746,1588
7019747,1309
7019748,1675
7019749,1784
7019750,1585
7019751,1589
7019752,1927
7019753,1557
7019754,1774
7019755,1735
7019756,1788
7019758,1535
7019759,1642
7019760,2615
7019761,470
7022197,128352
7019763,1190
7019764,748
7019765,416
7019766,1645
7019767,701
7019768,1098
7019769,826
7019770,1764
7019771,1102
7019772,1187
7019773,1643
7019774,2012
7019775,2232
7019776,2900
7019777,2289
7019778,3214
7019779,2882
7019780,1788
7019781,2700
7019782,1481
7019783,1468
