,geoid_county,rise,ratio,isolated,inundated,isolated_percentage,inundated_percentage,state_code,state_name
0,01003,1,4.746987951807229,788,166.0,0.3,0.1,AL,Alabama
1,01003,2,1.7298050139275767,3726,2154.0,1.6,0.9,AL,Alabama
2,01003,3,1.5803078710426954,5441,3443.0,2.3,1.5,AL,Alabama
3,01003,4,1.5359767891682785,7941,5170.0,3.4,2.2,AL,Alabama
4,01003,5,1.834792593655806,12783,6967.0,5.5,3.0,AL,Alabama
5,01003,6,1.488581446034303,15709,10553.0,6.8,4.6,AL,Alabama
6,01003,7,1.4037570139058306,17262,12297.0,7.4,5.3,AL,Alabama
7,01003,8,1.4265676567656767,19019,13332.0,8.2,5.8,AL,Alabama
8,01003,9,1.4017219270928742,22956,16377.0,9.9,7.1,AL,Alabama
9,01003,10,1.3859110967603057,25753,18582.0,11.1,8.0,AL,Alabama
10,01097,1,1.3735926305015353,1342,977.0,0.3,0.2,AL,Alabama
11,01097,2,2.16743708269132,4220,1947.0,1.0,0.5,AL,Alabama
12,01097,3,2.7794269934414912,8052,2897.0,1.9,0.7,AL,Alabama
13,01097,4,2.264378478664193,9764,4312.0,2.4,1.0,AL,Alabama
14,01097,5,2.027124124303934,11285,5567.0,2.7,1.3,AL,Alabama
15,01097,6,2.1076393865558263,14705,6977.0,3.5,1.7,AL,Alabama
16,01097,7,2.1724703951225233,18529,8529.0,4.5,2.1,AL,Alabama
17,01097,8,2.065278824415976,21925,10616.0,5.3,2.6,AL,Alabama
18,01097,9,1.8151887620719929,24810,13668.0,6.0,3.3,AL,Alabama
19,01097,10,1.6688520681845274,28000,16778.0,6.8,4.0,AL,Alabama
20,06001,1,4.952153110047847,3105,627.0,0.2,0.0,CA,California
21,06001,2,7.088002263723825,25049,3534.0,1.5,0.2,CA,California
22,06001,3,3.7691184052242654,43865,11638.0,2.6,0.7,CA,California
23,06001,4,2.250892496818055,72508,32213.0,4.3,1.9,CA,California
24,06001,5,1.726847621607095,96384,55815.0,5.7,3.3,CA,California
25,06001,6,1.544856672158155,117216,75875.0,7.0,4.5,CA,California
26,06001,7,1.4103354260464436,135010,95729.0,8.0,5.7,CA,California
27,06001,8,1.3084888191382473,157580,120429.0,9.4,7.2,CA,California
28,06001,9,1.2748325551614736,177203,139001.0,10.5,8.3,CA,California
29,06001,10,1.2119849384102075,192159,158549.0,11.4,9.4,CA,California
30,06013,1,1.7566137566137565,332,189.0,0.0,0.0,CA,California
