,rise,isolated,inundated,isolated_percentage,inundated_percentage,state_code,state_name
0,1,2130,1143,0.0,0.0,AL,Alabama
1,2,7946,4101,0.2,0.1,AL,Alabama
2,3,13493,6340,0.3,0.1,AL,Alabama
3,4,17705,9482,0.4,0.2,AL,Alabama
4,5,24068,12534,0.5,0.2,AL,Alabama
5,6,30414,17530,0.6,0.3,AL,Alabama
6,7,35791,20826,0.7,0.4,AL,Alabama
7,8,40944,23948,0.8,0.5,AL,Alabama
8,9,47766,30045,1.0,0.6,AL,Alabama
9,10,53753,35360,1.1,0.7,AL,Alabama
10,1,60788,28195,0.2,0.1,CA,California
11,2,139569,64700,0.4,0.2,CA,California
12,3,226116,113040,0.6,0.3,CA,California
13,4,319252,185826,0.8,0.5,CA,California
14,5,505826,337295,1.3,0.9,CA,California
15,6,612669,412783,1.5,1.0,CA,California
16,7,693429,497287,1.8,1.3,CA,California
17,8,799053,588617,2.0,1.5,CA,California
18,9,903878,685781,2.3,1.7,CA,California
19,10,994547,779534,2.5,2.0,CA,California
20,1,11354,8083,0.3,0.2,CT,Connecticut
21,2,21666,14065,0.6,0.4,CT,Connecticut
22,3,41819,20857,1.2,0.6,CT,Connecticut
23,4,65210,29821,1.8,0.8,CT,Connecticut
24,5,81837,39664,2.3,1.1,CT,Connecticut
25,6,96989,53066,2.7,1.5,CT,Connecticut
26,7,114188,65341,3.2,1.8,CT,Connecticut
27,8,137004,77017,3.8,2.1,CT,Connecticut
28,9,151680,87933,4.2,2.4,CT,Connecticut
29,10,167104,101350,4.6,2.8,CT,Connecticut
30,1,5649,3885,0.6,0.4,DE,Delaware
31,2,12742,8630,1.3,0.9,DE,Delaware
32,3,21012,12704,2.1,1.3,DE,Delaware
33,4,32776,19092,3.3,1.9,DE,Delaware
34,5,40872,23709,4.1,2.4,DE,Delaware
35,6,48741,28564,4.9,2.9,DE,Delaware
36,7,57707,35822,5.8,3.6,DE,Delaware
37,8,66503,42540,6.7,4.3,DE,Delaware
38,9,73935,50200,7.5,5.1,DE,Delaware
39,10,83276,58207,8.4,5.9,DE,Delaware
40,1,1036,15,0.2,0.0,DC,District of Columbia
41,2,1130,109,0.2,0.0,DC,District of Columbia
42,3,1417,396,0.2,0.1,DC,District of Columbia
43,4,1421,396,0.2,0.1,DC,District of Columbia
44,5,1482,457,0.2,0.1,DC,District of Columbia
45,6,2192,937,0.3,0.1,DC,District of Columbia
46,7,2500,1167,0.4,0.2,DC,District of Columbia
47,8,4232,1563,0.6,0.2,DC,District of Columbia
48,9,4514,1684,0.7,0.2,DC,District of Columbia
49,10,7600,3010,1.1,0.4,DC,District of Columbia
50,1,224190,171656,1.0,0.8,FL,Florida
51,2,543000,347739,2.5,1.6,FL,Florida
52,3,1101811,644965,5.1,3.0,FL,Florida
53,4,1855976,1044798,8.6,4.9,FL,Florida
54,5,3034248,1716316,14.1,8.0,FL,Florida
55,6,4417355,2754012,20.5,12.8,FL,Florida
56,7,5292026,3913947,24.6,18.2,FL,Florida
57,8,5991471,4830406,27.8,22.4,FL,Florida
58,9,6653882,5507172,30.9,25.6,FL,Florida
59,10,7248715,6132346,33.7,28.5,FL,Florida
60,1,26202,15457,0.2,0.1,GA,Georgia
61,2,38219,22656,0.4,0.2,GA,Georgia
62,3,54897,30539,0.5,0.3,GA,Georgia
63,4,87172,43782,0.8,0.4,GA,Georgia
64,5,124616,59011,1.2,0.6,GA,Georgia
65,6,150521,76740,1.4,0.7,GA,Georgia
66,7,176409,92325,1.6,0.9,GA,Georgia
67,8,212505,116641,2.0,1.1,GA,Georgia
68,9,241966,142600,2.3,1.3,GA,Georgia
69,10,262116,167584,2.4,1.6,GA,Georgia
70,1,6247,683,0.4,0.0,HI,Hawaii
71,2,15655,2390,1.1,0.2,HI,Hawaii
72,3,51033,13389,3.5,0.9,HI,Hawaii
73,4,89211,32204,6.1,2.2,HI,Hawaii
74,5,120722,62788,8.3,4.3,HI,Hawaii
75,6,182872,90298,12.6,6.2,HI,Hawaii
76,7,220887,118282,15.2,8.1,HI,Hawaii
77,8,251810,142792,17.3,9.8,HI,Hawaii
78,9,271713,166245,18.7,11.4,HI,Hawaii
79,10,291164,181709,20.0,12.5,HI,Hawaii
80,1,72455,40051,1.6,0.9,LA,Louisiana
81,2,124356,77006,2.7,1.7,LA,Louisiana
82,3,183498,122090,3.9,2.6,LA,Louisiana
83,4,254607,168638,5.5,3.6,LA,Louisiana
84,5,310465,224109,6.7,4.8,LA,Louisiana
85,6,359224,276964,7.7,5.9,LA,Louisiana
86,7,404373,324754,8.7,7.0,LA,Louisiana
87,8,456961,368547,9.8,7.9,LA,Louisiana
88,9,509274,418723,10.9,9.0,LA,Louisiana
89,10,578283,477080,12.4,10.2,LA,Louisiana
90,1,6058,2007,0.4,0.1,ME,Maine
91,2,9001,3154,0.7,0.2,ME,Maine
92,3,12395,5197,0.9,0.4,ME,Maine
