,geoid_tract,rise,isolated,inundated,isolated_percentage,inundated_percentage,state_code,state_name
0,01003010300,1,50,50.0,0.6,0.6,AL,Alabama
1,01003010300,2,50,50.0,0.6,0.6,AL,Alabama
2,01003010300,3,50,50.0,0.6,0.6,AL,Alabama
3,01003010300,4,50,50.0,0.6,0.6,AL,Alabama
4,01003010300,5,53,53.0,0.6,0.6,AL,Alabama
5,01003010300,6,87,87.0,1.0,1.0,AL,Alabama
6,01003010300,7,97,87.0,1.2,1.0,AL,Alabama
7,01003010300,8,97,87.0,1.2,1.0,AL,Alabama
8,01003010300,9,97,87.0,1.2,1.0,AL,Alabama
9,01003010300,10,696,87.0,8.3,1.0,AL,Alabama
10,01003011403,1,360,0.0,2.6,0.0,AL,Alabama
11,01003011403,2,1196,257.0,8.7,1.9,AL,Alabama
12,01003011403,3,1321,585.0,9.7,4.3,AL,Alabama
13,01003011403,4,1422,664.0,10.4,4.9,AL,Alabama
14,01003011403,5,1599,865.0,11.7,6.3,AL,Alabama
15,01003011403,6,1655,1011.0,12.1,7.4,AL,Alabama
16,01003011403,7,1880,1388.0,13.7,10.1,AL,Alabama
17,01003011403,8,2009,1442.0,14.7,10.5,AL,Alabama
18,01003011403,9,2863,1527.0,20.9,11.2,AL,Alabama
19,01003011403,10,3189,1954.0,23.3,14.3,AL,Alabama
20,01003011405,1,138,0.0,2.5,0.0,AL,Alabama
21,01003011405,2,192,38.0,3.5,0.7,AL,Alabama
22,01003011405,3,591,195.0,10.8,3.6,AL,Alabama
23,01003011405,4,1040,752.0,19.0,13.7,AL,Alabama
24,01003011405,5,3454,1134.0,63.0,20.7,AL,Alabama
25,01003011405,6,3466,2589.0,63.2,47.2,AL,Alabama
26,01003011405,7,3534,2892.0,64.4,52.7,AL,Alabama
27,01003011405,8,3673,3044.0,67.0,55.5,AL,Alabama
28,01003011405,9,3949,3322.0,72.0,60.6,AL,Alabama
29,01003011405,10,4029,3534.0,73.5,64.4,AL,Alabama
30,01003011407,1,117,42.0,1.9,0.7,AL,Alabama
31,01003011407,2,1811,1543.0,29.6,25.2,AL,Alabama
32,01003011407,3,2041,1774.0,33.4,29.0,AL,Alabama
33,01003011407,4,2597,2050.0,42.5,33.5,AL,Alabama
34,01003011407,5,3169,2636.0,51.8,43.1,AL,Alabama
35,01003011407,6,3942,3315.0,64.5,54.2,AL,Alabama
36,01003011407,7,4228,3443.0,69.1,56.3,AL,Alabama
37,01003011407,8,4749,3786.0,77.6,61.9,AL,Alabama
38,01003011407,9,5975,4481.0,97.7,73.3,AL,Alabama
39,01003011407,10,5975,4653.0,97.7,76.1,AL,Alabama
40,01003011408,1,54,54.0,7.2,7.2,AL,Alabama
41,01003011408,2,54,54.0,7.2,7.2,AL,Alabama
42,01003011408,3,54,54.0,7.2,7.2,AL,Alabama
43,01003011408,4,129,75.0,17.2,10.0,AL,Alabama
44,01003011408,5,603,125.0,80.2,16.6,AL,Alabama
45,01003011408,6,752,175.0,100.0,23.3,AL,Alabama
46,01003011408,7,752,195.0,100.0,25.9,AL,Alabama
47,01003011408,8,752,211.0,100.0,28.1,AL,Alabama
48,01003011408,9,752,595.0,100.0,79.1,AL,Alabama
49,01003011408,10,752,742.0,100.0,98.7,AL,Alabama
50,01003011601,1,63,0.0,0.8,0.0,AL,Alabama
51,01003011601,2,90,0.0,1.2,0.0,AL,Alabama
52,01003011601,3,130,2.0,1.7,0.0,AL,Alabama
