,x,y,state,scenario
0,0.0,9914236.0,all,intermediate
1,10.0,1218858.0,all,intermediate
2,20.0,802042.0,all,intermediate
3,30.0,2105427.0,all,intermediate
4,40.0,398742.0,all,intermediate
5,50.0,642325.0,all,intermediate
6,60.0,251628.0,all,intermediate
7,70.0,7234.0,all,intermediate
8,80.0,80971.0,all,intermediate
9,90.0,58129.0,all,intermediate
10,100.0,17475.0,all,intermediate
11,110.0,43713.0,all,intermediate
12,120.0,15232.0,all,intermediate
0,0.0,103473.0,WA,intermediate
1,10.0,69179.0,WA,intermediate
2,20.0,1849.0,WA,intermediate
3,30.0,2478.0,WA,intermediate
4,40.0,61.0,WA,intermediate
5,50.0,714.0,WA,intermediate
6,60.0,38.0,WA,intermediate
7,70.0,0.0,WA,intermediate
8,80.0,35.0,WA,intermediate
9,90.0,0.0,WA,intermediate
10,100.0,0.0,WA,intermediate
11,110.0,0.0,WA,intermediate
12,120.0,0.0,WA,intermediate
0,0.0,219894.0,SC,intermediate
1,10.0,31361.0,SC,intermediate
2,20.0,60087.0,SC,intermediate
3,30.0,25889.0,SC,intermediate
4,40.0,3858.0,SC,intermediate
5,50.0,80948.0,SC,intermediate
6,60.0,35903.0,SC,intermediate
7,70.0,74.0,SC,intermediate
8,80.0,5802.0,SC,intermediate
9,90.0,4509.0,SC,intermediate
10,100.0,6375.0,SC,intermediate
11,110.0,312.0,SC,intermediate
12,120.0,2233.0,SC,intermediate
0,0.0,78284.0,MD,intermediate
1,10.0,26694.0,MD,intermediate
2,20.0,101775.0,MD,intermediate
3,30.0,6706.0,MD,intermediate
4,40.0,5223.0,MD,intermediate
5,50.0,4258.0,MD,intermediate
6,60.0,8029.0,MD,intermediate
7,70.0,5304.0,MD,intermediate
8,80.0,2113.0,MD,intermediate
9,90.0,1843.0,MD,intermediate
10,100.0,0.0,MD,intermediate
11,110.0,3665.0,MD,intermediate
12,120.0,1109.0,MD,intermediate
0,0.0,407125.0,NJ,intermediate
1,10.0,378782.0,NJ,intermediate
2,20.0,36390.0,NJ,intermediate
3,30.0,22786.0,NJ,intermediate
4,40.0,8697.0,NJ,intermediate
5,50.0,8599.0,NJ,intermediate
6,60.0,4385.0,NJ,intermediate
7,70.0,2359.0,NJ,intermediate
8,80.0,1082.0,NJ,intermediate
9,90.0,411.0,NJ,intermediate
10,100.0,5.0,NJ,intermediate
11,110.0,730.0,NJ,intermediate
12,120.0,0.0,NJ,intermediate
0,0.0,493450.0,CA,intermediate
1,10.0,127406.0,CA,intermediate
2,20.0,231731.0,CA,intermediate
3,30.0,47421.0,CA,intermediate
4,40.0,43203.0,CA,intermediate
5,50.0,36837.0,CA,intermediate
6,60.0,3891.0,CA,intermediate
7,70.0,9323.0,CA,intermediate
8,80.0,1246.0,CA,intermediate
9,90.0,4522.0,CA,intermediate
10,100.0,0.0,CA,intermediate
11,110.0,0.0,CA,intermediate
12,120.0,0.0,CA,intermediate
0,0.0,574891.0,NY,intermediate
1,10.0,66943.0,NY,intermediate
2,20.0,317151.0,NY,intermediate
3,30.0,46496.0,NY,intermediate
4,40.0,103048.0,NY,intermediate
5,50.0,69028.0,NY,intermediate
6,60.0,33536.0,NY,intermediate
7,70.0,94241.0,NY,intermediate
8,80.0,1244.0,NY,intermediate
9,90.0,251.0,NY,intermediate
10,100.0,0.0,NY,intermediate
11,110.0,3.0,NY,intermediate
12,120.0,140860.0,NY,intermediate
0,0.0,2941086.0,FL,intermediate
1,10.0,1249108.0,FL,intermediate
2,20.0,1136444.0,FL,intermediate
3,30.0,1056600.0,FL,intermediate
4,40.0,71727.0,FL,intermediate
5,50.0,97176.0,FL,intermediate
6,60.0,567470.0,FL,intermediate
7,70.0,98682.0,FL,intermediate
8,80.0,5277.0,FL,intermediate
9,90.0,18708.0,FL,intermediate
10,100.0,0.0,FL,intermediate
11,110.0,0.0,FL,intermediate
12,120.0,16383.0,FL,intermediate
0,0.0,191492.0,NC,intermediate
1,10.0,6269.0,NC,intermediate
2,20.0,48732.0,NC,intermediate
3,30.0,18132.0,NC,intermediate
4,40.0,9655.0,NC,intermediate
5,50.0,29632.0,NC,intermediate
6,60.0,33659.0,NC,intermediate
7,70.0,2955.0,NC,intermediate
8,80.0,2507.0,NC,intermediate
9,90.0,588.0,NC,intermediate
10,100.0,1242.0,NC,intermediate
