,rise,geoid_county,U7B001,U7C005,U7B004,U7C002,state_code,state_name,U7B001_total,U7B001_percentage
0,1,01003,526.5084553040844,481.1429700363635,9.665495188621172,19.174917813660244,AL,Alabama,231767,0.2
299,2,01003,1428.627272112382,1303.286835526331,18.5940495854139,49.56750749514826,AL,Alabama,231767,0.6
602,3,01003,3311.32067055055,2984.1781726109657,43.3313621479138,124.9747547884811,AL,Alabama,231767,1.4
907,4,01003,5464.796423656377,4911.723526311693,74.78369914367185,194.16229866465093,AL,Alabama,231767,2.4
1214,5,01003,7788.286324630402,7013.042574655055,103.50995778115214,268.10541404801785,AL,Alabama,231767,3.4
1523,6,01003,10229.152011962115,9198.925467532586,126.12067904005666,370.28404594453747,AL,Alabama,231767,4.4
1835,7,01003,12468.66076318032,11247.320055722055,148.9470183853846,439.1146592649638,AL,Alabama,231767,5.4
2147,8,01003,14544.751228205167,13139.179250276222,171.09011367379637,501.81285227965645,AL,Alabama,231767,6.3
2462,9,01003,17498.553826437663,15726.81050891352,217.97337760119046,638.7553831373241,AL,Alabama,231767,7.6
2782,10,01003,19323.101638899774,17380.683265046348,243.27012914647455,701.7785222136058,AL,Alabama,231767,8.3
1,1,01097,331.11738160485845,275.71917821608685,19.86748020968592,9.805025341774689,AL,Alabama,414809,0.1
300,2,01097,731.1359003197613,620.8308601300032,36.88212881251716,20.253148191298276,AL,Alabama,414809,0.2
603,3,01097,1470.6893266555426,1225.957125056377,95.36314356433915,36.131997145735546,AL,Alabama,414809,0.4
908,4,01097,2758.351598482213,2237.6610689299027,226.78345400132915,73.58692463017064,AL,Alabama,414809,0.7
1215,5,01097,4349.87163227805,3422.7783745331644,478.1318260030564,115.91904624363309,AL,Alabama,414809,1.0
1524,6,01097,6241.735190616882,4757.9317042600105,846.2278467751783,170.94624155766638,AL,Alabama,414809,1.5
1836,7,01097,8428.405067839205,6236.8255387792115,1354.544376569941,231.59060968375817,AL,Alabama,414809,2.0
2148,8,01097,11167.765785844022,7821.683639854307,2281.964128972349,306.0538093780233,AL,Alabama,414809,2.7
2463,9,01097,14601.977507523656,9602.858383887722,3598.7083202153954,443.54133482041016,AL,Alabama,414809,3.5
2783,10,01097,19096.229988441915,11539.683330065578,5824.6708081474835,574.1267883477154,AL,Alabama,414809,4.6
2,1,06001,2780.9112320084514,763.1990019776762,154.09632618265402,407.26029077089566,CA,California,1682198,0.2
301,2,06001,8541.184142482625,2014.278397233116,592.2509039836667,1275.7934960940354,CA,California,1682198,0.5
604,3,06001,24638.71035219459,5300.233303052149,1854.8055523380278,3884.18148363339,CA,California,1682198,1.5
909,4,06001,44940.34547297972,10395.516168777776,3636.179690626389,7188.029034436633,CA,California,1682198,2.7
1216,5,06001,71408.03008975972,16636.22451155399,6137.003717717703,11314.063835240628,CA,California,1682198,4.2
1525,6,06001,96302.997510443,22870.423126811344,8664.02089213815,16345.058858187842,CA,California,1682198,5.7
1837,7,06001,118057.8557061796,28096.443844742487,10331.932577721975,20760.200208815826,CA,California,1682198,7.0
