,rise,state_code,U7B001,U7C005,U7B004,U7C002,state_name,U7B001_total,U7B001_percentage
0,1,AL,857.6258369089428,756.8621482524504,29.532975398307087,28.97994315543493,Alabama,5024279,0.0
1,2,AL,2159.763172432143,1924.1176956563343,55.47617839793106,69.82065568644654,Alabama,5024279,0.0
2,3,AL,4782.0099972060925,4210.1352976673425,138.69450571225295,161.10675193421665,Alabama,5024279,0.1
3,4,AL,8223.14802213859,7149.384595241595,301.567153145001,267.74922329482155,Alabama,5024279,0.2
4,5,AL,12138.157956908452,10435.82094918822,581.6417837842085,384.02446029165094,Alabama,5024279,0.2
5,6,AL,16470.887202578997,13956.857171792597,972.348525815235,541.2302875022039,Alabama,5024279,0.3
6,7,AL,20897.065831019525,17484.145594501268,1503.4913949553256,670.7052689487219,Alabama,5024279,0.4
7,8,AL,25712.51701404919,20960.862890130527,2453.054242646145,807.8666616576797,Alabama,5024279,0.5
8,9,AL,32100.531333961317,25329.668892801245,3816.681697816586,1082.2967179577342,Alabama,5024279,0.6
9,10,AL,38419.331627341686,28920.366595111926,6067.940937293958,1275.9053105613214,Alabama,5024279,0.8
10,1,CA,79813.10810862733,36103.61405096837,2209.6171828911974,22843.186104112963,California,39538223,0.2
11,2,CA,125825.19087737871,59074.46904856533,4010.6689197988753,33253.677408931086,California,39538223,0.3
12,3,CA,195157.79669071254,90648.71760985271,7159.699925041354,46908.43504982702,California,39538223,0.5
13,4,CA,271290.99345219193,123134.5054728137,11674.075944192058,62540.68110218781,California,39538223,0.7
14,5,CA,440926.93734348903,186265.40624195407,18345.945666244243,92351.274665612,California,39538223,1.1
15,6,CA,532604.751413138,221046.48860750493,23954.62012833405,112643.51382300911,California,39538223,1.3
16,7,CA,621313.5971373569,254649.6416200817,29687.661737444927,133817.74851492312,California,39538223,1.6
17,8,CA,712592.7371120226,287323.2050911544,35505.306605202044,158075.7605901166,California,39538223,1.8
18,9,CA,810670.6703547734,321599.63915844506,42517.61235945073,185635.3458068861,California,39538223,2.1
19,10,CA,899939.0939803317,353864.2522133889,48543.901736151565,211989.80888420998,California,39538223,2.3
20,1,CT,3765.1199519910806,2299.622245750533,275.53173469173737,890.9011693028691,Connecticut,3605944,0.1
21,2,CT,6888.005375337641,4481.761532187713,551.9326601568109,1356.4830436294455,Connecticut,3605944,0.2
22,3,CT,14731.443575474112,9883.14888372403,1219.8608445018403,2529.5344283100185,Connecticut,3605944,0.4
