,rise,geoid_county,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name,U7B001_total,U7B001_percentage
0,0,15005,82,27,2,18,97,HI,Hawaii,82,100.0
86,1,15005,82,27,2,18,97,HI,Hawaii,82,100.0
382,2,15005,82,27,2,18,97,HI,Hawaii,82,100.0
687,3,15005,82,27,2,18,97,HI,Hawaii,82,100.0
999,4,15005,82,27,2,18,97,HI,Hawaii,82,100.0
1314,5,15005,82,27,2,18,97,HI,Hawaii,82,100.0
1630,6,15005,82,27,2,18,97,HI,Hawaii,82,100.0
1950,7,15005,82,27,2,18,97,HI,Hawaii,82,100.0
2274,8,15005,82,27,2,18,97,HI,Hawaii,82,100.0
2599,9,15005,82,27,2,18,97,HI,Hawaii,82,100.0
2926,10,15005,82,27,2,18,97,HI,Hawaii,82,100.0
1,0,15009,10654,1586,33,760,4879,HI,Hawaii,164726,6.5
88,1,15009,10808,1638,42,786,5000,HI,Hawaii,164726,6.6
384,2,15009,10833,1644,44,788,5004,HI,Hawaii,164726,6.6
689,3,15009,11137,1850,47,813,5218,HI,Hawaii,164726,6.8
1001,4,15009,12121,2411,63,927,5842,HI,Hawaii,164726,7.4
1316,5,15009,13613,3131,73,1006,7494,HI,Hawaii,164726,8.3
1632,6,15009,15771,4021,97,1341,8658,HI,Hawaii,164726,9.6
1952,7,15009,18609,5082,130,1762,10486,HI,Hawaii,164726,11.3
2276,8,15009,19422,5458,132,1771,11704,HI,Hawaii,164726,11.8
2601,9,15009,22153,6326,174,2268,12935,HI,Hawaii,164726,13.4
2928,10,15009,22545,6465,179,2330,13058,HI,Hawaii,164726,13.7
2,0,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
143,1,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
440,2,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
747,3,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
1059,4,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
1374,5,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
1691,6,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
2012,7,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
2336,8,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
2661,9,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
2988,10,25007,20600,16230,813,534,17404,MA,Massachusetts,20600,100.0
3,0,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
146,1,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
443,2,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
750,3,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
1062,4,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
1377,5,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
1694,6,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
2015,7,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
2339,8,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
2664,9,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
2991,10,25019,14255,9889,1027,2312,11989,MA,Massachusetts,14255,100.0
4,0,48039,8668,5463,419,2334,5321,TX,Texas,371985,2.3
234,1,48039,1353,996,20,302,989,TX,Texas,371985,0.4
534,2,48039,2319,1792,37,389,2430,TX,Texas,371985,0.6
842,3,48039,2873,2197,48,494,2832,TX,Texas,371985,0.8
1155,4,48039,3676,2618,61,835,3175,TX,Texas,371985,1.0
1471,5,48039,4337,3036,83,1037,3479,TX,Texas,371985,1.2
1789,6,48039,4754,3256,92,1206,3681,TX,Texas,371985,1.3
2110,7,48039,5849,3965,158,1468,4161,TX,Texas,371985,1.6
2434,8,48039,6688,4572,191,1643,4510,TX,Texas,371985,1.8
2759,9,48039,8972,5798,310,2465,5469,TX,Texas,371985,2.4
3086,10,48039,10699,6858,456,2858,6225,TX,Texas,371985,2.9
5,0,48261,350,73,1,261,191,TX,Texas,350,100.0
241,1,48261,350,73,1,261,191,TX,Texas,350,100.0
542,2,48261,350,73,1,261,191,TX,Texas,350,100.0
851,3,48261,350,73,1,261,191,TX,Texas,350,100.0
1164,4,48261,350,73,1,261,191,TX,Texas,350,100.0
1480,5,48261,350,73,1,261,191,TX,Texas,350,100.0
1798,6,48261,350,73,1,261,191,TX,Texas,350,100.0
