,rise,state_code,U7B001,U7C005,U7B004,U7C002,U7G001,state_name,U7B001_total,U7B001_percentage
0,0,HI,10736,1613,35,778,4976,Hawaii,1455271,0.7
1,1,HI,19536,4693,121,1809,8568,Hawaii,1455271,1.3
2,2,HI,28255,7409,244,2420,13650,Hawaii,1455271,1.9
3,3,HI,62081,16279,895,4742,36084,Hawaii,1455271,4.3
4,4,HI,98705,25509,1503,7503,56215,Hawaii,1455271,6.8
5,5,HI,129804,36804,2464,11604,68615,Hawaii,1455271,8.9
6,6,HI,194316,51792,3308,18253,95358,Hawaii,1455271,13.4
7,7,HI,228257,59731,3571,21071,108980,Hawaii,1455271,15.7
8,8,HI,257410,66661,4028,23346,121002,Hawaii,1455271,17.7
9,9,HI,278716,71716,4345,25714,129415,Hawaii,1455271,19.2
10,10,HI,298864,77547,4621,27271,136679,Hawaii,1455271,20.5
11,0,MA,34855,26119,1840,2846,29393,Massachusetts,7029917,0.5
12,1,MA,98424,72138,4304,9362,67260,Massachusetts,7029917,1.4
13,2,MA,139665,99987,6762,13519,91730,Massachusetts,7029917,2.0
14,3,MA,207020,145557,10092,22048,129663,Massachusetts,7029917,2.9
15,4,MA,305354,207504,15992,34766,181311,Massachusetts,7029917,4.3
16,5,MA,447152,292426,26160,55249,251277,Massachusetts,7029917,6.4
17,6,MA,539426,347053,33579,67934,303056,Massachusetts,7029917,7.7
18,7,MA,644991,403505,41946,89753,349340,Massachusetts,7029917,9.2
19,8,MA,730148,462093,47425,98160,393712,Massachusetts,7029917,10.4
20,9,MA,841269,509434,58710,131736,439283,Massachusetts,7029917,12.0
21,10,MA,881488,535087,61130,137752,459790,Massachusetts,7029917,12.5
22,0,TX,9018,5536,420,2595,5512,Texas,29145505,0.0
23,1,TX,20919,13467,1653,4588,15865,Texas,29145505,0.1
24,2,TX,29973,19592,2225,6385,23445,Texas,29145505,0.1
25,3,TX,47804,30903,3915,10155,35876,Texas,29145505,0.2
26,4,TX,71477,45243,6523,15336,54050,Texas,29145505,0.2
27,5,TX,102674,65560,8583,22189,76261,Texas,29145505,0.4
28,6,TX,138856,87975,12126,30330,93320,Texas,29145505,0.5
29,7,TX,173452,105669,16203,41136,111398,Texas,29145505,0.6
30,8,TX,210674,125987,21274,50794,129181,Texas,29145505,0.7
31,9,TX,248831,148413,24917,60472,147296,Texas,29145505,0.9
32,10,TX,301758,177267,30209,75508,169826,Texas,29145505,1.0
33,0,WA,28975,23437,126,2435,20192,Washington,7705281,0.4
34,1,WA,106579,83373,1295,9088,61099,Washington,7705281,1.4
35,2,WA,141588,109319,1519,11859,79493,Washington,7705281,1.8
36,3,WA,154040,118496,1694,13357,85598,Washington,7705281,2.0
37,4,WA,175116,133503,2029,16305,95760,Washington,7705281,2.3
38,5,WA,185393,140856,2377,17372,101351,Washington,7705281,2.4
39,6,WA,204806,154922,3172,19341,112500,Washington,7705281,2.7
40,7,WA,220882,167136,3480,20836,121025,Washington,7705281,2.9
41,8,WA,236727,178627,3867,22359,129440,Washington,7705281,3.1
42,9,WA,251224,189328,4237,23604,137770,Washington,7705281,3.3
43,10,WA,260809,195299,4812,25068,142278,Washington,7705281,3.4
44,1,AL,4697,3924,384,112,3992,Alabama,5024279,0.1
45,2,AL,9207,7766,551,298,6552,Alabama,5024279,0.2
46,3,AL,14754,11780,1600,415,10275,Alabama,5024279,0.3
47,4,AL,18966,15282,1850,558,17663,Alabama,5024279,0.4
48,5,AL,23967,19326,2415,684,23265,Alabama,5024279,0.5
49,6,AL,30966,24229,3977,884,26782,Alabama,5024279,0.6
50,7,AL,36665,28250,4856,1120,30824,Alabama,5024279,0.7
51,8,AL,42189,32291,5868,1307,33931,Alabama,5024279,0.8
52,9,AL,48812,36954,7282,1521,41782,Alabama,5024279,1.0
53,10,AL,54819,40292,9436,1773,44676,Alabama,5024279,1.1
54,1,CA,140451,64235,5982,36270,54345,California,39538223,0.4
55,2,CA,223748,102880,9294,51160,92023,California,39538223,0.6
56,3,CA,304452,142732,12608,67031,128930,California,39538223,0.8
57,4,CA,405378,188837,17915,87529,174205,California,39538223,1.0
58,5,CA,588091,255513,26852,122469,245764,California,39538223,1.5
59,6,CA,702412,304830,34574,145739,293615,California,39538223,1.8
60,7,CA,789593,342165,39626,166856,331564,California,39538223,2.0
