,rise,geoid_tract,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name,U7B001_total,U7B001_percentage
0,0,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
1497,1,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
5002,2,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
9225,3,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
14133,4,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
19649,5,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
25726,6,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
32263,7,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
39205,8,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
46479,9,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
54041,10,15005031900,82,27,2,18,97,HI,Hawaii,82,100.0
1,0,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
1510,1,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
5018,2,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
9246,3,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
14155,4,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
19672,5,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
25751,6,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
32288,7,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
39232,8,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
46509,9,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
54071,10,15009031601,3367,475,14,306,1525,HI,Hawaii,3367,100.0
2,0,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
1511,1,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
5019,2,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
9247,3,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
14156,4,15009031700,4441,712,14,281,1966,HI,Hawaii,4441,100.0
